"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.43708049700268e-218,-20.1261507145798,0.506,0.232,1.09250130195129e-213,"Dysfunctional.CD8","LSP1"
1.07387286300326e-212,-145.79216606939,0.07,0.302,1.82257702308914e-208,"Dysfunctional.CD8","TIMP3"
3.14348449538334e-211,-35.8899502851714,0.066,0.292,5.3351218855646e-207,"Dysfunctional.CD8","S100A13"
2.44233307588589e-210,0.648371850754361,0.229,0.055,4.14512769639353e-206,"Dysfunctional.CD8","LAT"
7.09414814373641e-210,-79.0743868677558,0.268,0.526,1.20401882295494e-205,"Dysfunctional.CD8","GPX1"
2.04641571855068e-209,-2.06827349589841,0.273,0.079,3.47317675752421e-205,"Dysfunctional.CD8","STAG3"
1.66993384833204e-205,-12.4780679623833,0.018,0.203,2.83421172738914e-201,"Dysfunctional.CD8","PPIC"
1.9288016744929e-205,-59.334995568527,0.026,0.219,3.27356220194935e-201,"Dysfunctional.CD8","SELENOP"
9.29448541801975e-203,-18.7752581324517,0.115,0.352,1.57746006514631e-198,"Dysfunctional.CD8","CD81"
2.42741032829706e-201,-42.255177791928,0.032,0.227,4.11980080918578e-197,"Dysfunctional.CD8","COL4A2"
9.94454717064048e-201,-79.4461664986979,0.054,0.266,1.6877885458011e-196,"Dysfunctional.CD8","C1R"
2.23552278248596e-200,-11.5744760864738,0.022,0.207,3.79412926643517e-196,"Dysfunctional.CD8","CAV2"
3.1543836151753e-200,1.1739697164799,0.305,0.103,5.35361987167553e-196,"Dysfunctional.CD8","SEPTIN1"
3.93065562527605e-199,-126.771855356963,0.06,0.275,6.67110872721851e-195,"Dysfunctional.CD8","NUPR1"
6.42873225866763e-198,-48.9134406549135,0.071,0.288,1.09108443894107e-193,"Dysfunctional.CD8","GNG11"
2.05586009193336e-197,-37.2122345142554,0.063,0.277,3.48920574802929e-193,"Dysfunctional.CD8","LGALS3BP"
5.04608636446122e-197,-15.8920952919284,0.181,0.428,8.56421777776358e-193,"Dysfunctional.CD8","WSB1"
1.25376952019213e-196,-9.68531202803751,0.538,0.27,2.12789762967009e-192,"Dysfunctional.CD8","CD53"
1.65163237503894e-195,-204.320262601385,0.049,0.252,2.8031504669161e-191,"Dysfunctional.CD8","BGN"
8.10721599839483e-195,0.556961211601979,0.2,0.044,1.37595669924757e-190,"Dysfunctional.CD8","SKAP1"
8.2000829320021e-195,-199.171827068392,0.848,0.592,1.3917180752194e-190,"Dysfunctional.CD8","S100A4"
4.45429212124779e-192,-36.031364929901,0.042,0.237,7.55982458818175e-188,"Dysfunctional.CD8","CAVIN3"
9.23731776308942e-192,-17.2880081741502,0.053,0.257,1.56775757075154e-187,"Dysfunctional.CD8","TCEAL4"
1.98290714630726e-191,-238.627153336403,0.077,0.292,3.36539000871268e-187,"Dysfunctional.CD8","TPM2"
2.7473251069602e-191,-13.0985044998889,0.034,0.225,4.66276017153286e-187,"Dysfunctional.CD8","MGST2"
1.62368360709493e-190,-18.1323236748248,0.199,0.441,2.75571581796151e-186,"Dysfunctional.CD8","RTN4"
1.57642582956634e-189,0.350668206288029,0.212,0.051,2.67550991794e-185,"Dysfunctional.CD8","SIT1"
2.36566127201161e-189,-57.5984490935012,0.049,0.248,4.01500031085811e-185,"Dysfunctional.CD8","COL6A2"
5.28303602400734e-189,-12.5626907273956,0.026,0.207,8.96636873994526e-185,"Dysfunctional.CD8","GAS6"
1.34685937078776e-188,0.685429217721737,0.407,0.171,2.28588972410098e-184,"Dysfunctional.CD8","CD48"
3.68073753352119e-188,0.533856910612587,0.244,0.067,6.24694774189216e-184,"Dysfunctional.CD8","SYTL3"
1.1158225778027e-187,-54.7072173130604,0.068,0.275,1.89377407904674e-183,"Dysfunctional.CD8","CRIP2"
1.17887928192593e-187,-38.8908534881309,0.074,0.286,2.0007939172847e-183,"Dysfunctional.CD8","PDLIM1"
1.40577206418884e-187,-198.885052990547,0.095,0.313,2.38587634734129e-183,"Dysfunctional.CD8","MYL9"
2.03685687726197e-187,-23.6232019644467,0.037,0.229,3.45695349208902e-183,"Dysfunctional.CD8","SGK1"
2.8143072408423e-186,-93.2695917553225,0.045,0.24,4.77644224915755e-182,"Dysfunctional.CD8","COL4A1"
1.66797632198239e-184,-69.9228675414059,0.06,0.261,2.83088941366851e-180,"Dysfunctional.CD8","C1S"
1.39223362009151e-183,-20.3490150819461,0.077,0.291,2.36289890001931e-179,"Dysfunctional.CD8","NAMPT"
1.62824084348767e-183,-56.506627629793,0.054,0.254,2.76345035956727e-179,"Dysfunctional.CD8","SOCS3"
4.13078909158658e-183,-31.7869498507498,0.229,0.471,7.01077524624075e-179,"Dysfunctional.CD8","ITGB1"
1.23364282565719e-182,-66.4440355495826,0.033,0.219,2.09373860370539e-178,"Dysfunctional.CD8","SOX4"
1.53410226128555e-181,-399.183502859666,0.324,0.118,2.60367835785383e-177,"Dysfunctional.CD8","CCL4L2"
