"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MORF4L1",1.16872765589229e-26,-0.329148625295177,0.247,0.525,1.98356457758039e-22,"0","MORF4L1"
"CTSS.1",1.52821271684862e-26,-0.647270768450399,0.467,0.783,2.59368262303548e-22,"0","CTSS"
"TRIR",1.7418041649033e-26,-0.257581971139971,0.23,0.491,2.95619002867388e-22,"0","TRIR"
"BRK1",2.02756166046821e-26,-0.660550070312238,0.197,0.509,3.44117765014665e-22,"0","BRK1"
"DYNLL1",2.13979169510037e-26,-0.350642702531993,0.353,0.652,3.63165446492434e-22,"0","DYNLL1"
"GPSM3",2.50689550023267e-26,-0.537461836606745,0.143,0.419,4.25470304299489e-22,"0","GPSM3"
"ATP6V1G1",2.55931717698473e-26,-0.516756771797693,0.293,0.612,4.34367311277849e-22,"0","ATP6V1G1"
"C4orf3",2.78595857511145e-26,-0.413638016202371,0.26,0.556,4.72832889367916e-22,"0","C4orf3"
"PFDN5",2.8227083547162e-26,-0.442713599905862,0.62,0.89,4.79070061962433e-22,"0","PFDN5"
"SPINK9",2.87578906839464e-26,1.41254748678475,0.297,0.193,4.88078920687938e-22,"0","SPINK9"
"UQCRB",3.12948796507082e-26,-0.313814535132893,0.58,0.857,5.31136697431819e-22,"0","UQCRB"
"RTRAF",3.39430345708699e-26,-0.284166691108769,0.17,0.422,5.76081182736804e-22,"0","RTRAF"
"EIF3K.1",3.58441346327565e-26,-0.525810556510448,0.243,0.557,6.08346652987143e-22,"0","EIF3K"
"ATP5MC2",4.32857886760215e-26,-0.643167755539376,0.41,0.733,7.34646405409437e-22,"0","ATP5MC2"
"BTF3",5.71909301892611e-26,-0.597581507133569,0.48,0.791,9.70644467172139e-22,"0","BTF3"
"ATP5F1E",8.52912464057533e-26,-0.646486214644663,0.63,0.885,1.44756303399845e-21,"0","ATP5F1E"
"PEBP1.1",9.61957832502054e-26,0.501183771922207,0.287,0.388,1.63263483332249e-21,"0","PEBP1"
"PPIA",1.0246700591156e-25,0.267687602223876,0.657,0.816,1.73907002433099e-21,"0","PPIA"
"NDUFA4",1.14015992470186e-25,-0.40544532020728,0.363,0.672,1.935079424204e-21,"0","NDUFA4"
"SELENOH",1.18710024867318e-25,-0.287298435013884,0.213,0.483,2.01474654204812e-21,"0","SELENOH"
"EIF3E.1",1.27725136711029e-25,-0.432498200845308,0.27,0.565,2.16775102025958e-21,"0","EIF3E"
"HCST",1.29873530418032e-25,-0.769149451107297,0.263,0.588,2.20421355825484e-21,"0","HCST"
"NOP10.1",2.10330277369229e-25,-0.637551159220135,0.263,0.578,3.56972546751056e-21,"0","NOP10"
"IFI30.2",2.20067921931896e-25,-1.00409661422165,0.463,0.774,3.73499277102813e-21,"0","IFI30"
"GSTP1",2.63128875206867e-25,-0.770657426426263,0.39,0.714,4.46582327001095e-21,"0","GSTP1"
"UBE2D3",3.67942817297304e-25,-0.342154240486786,0.253,0.53,6.24472549516984e-21,"0","UBE2D3"
