"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.38864701288125e-30,0.42393498617936,0.634,0.529,7.44841171026205e-26,"MT1X_EC","ITM2A"
1.64901348552042e-28,0.405316868417225,0.582,0.448,2.79870568762526e-24,"MT1X_EC","RBP7"
2.41378123259877e-28,0.371397252311781,0.639,0.52,4.09666950796663e-24,"MT1X_EC","TMEM88"
2.93494776920865e-28,0.502227935191627,0.375,0.266,4.98119335390093e-24,"MT1X_EC","EPHX1"
7.66907355663702e-28,0.47533206541545,0.554,0.452,1.30159516403243e-23,"MT1X_EC","NDRG1"
1.78777751909358e-26,0.475890946426814,0.244,0.135,3.03421600540562e-22,"MT1X_EC","INHBB"
1.73710991513763e-25,0.485645202366586,0.472,0.359,2.94822294797158e-21,"MT1X_EC","BHLHE40"
2.82125121931735e-23,0.382616626290346,0.537,0.436,4.78822756942541e-19,"MT1X_EC","TPM1"
1.52064416216945e-21,0.316582764614821,0.625,0.501,2.580837272034e-17,"MT1X_EC","LIFR"
7.85086639731128e-21,0.434376686729067,0.396,0.286,1.33244904495167e-16,"MT1X_EC","KDR"
2.09340937632071e-20,0.450312186065531,0.515,0.395,3.5529343934915e-16,"MT1X_EC","PRSS1"
2.86226061624262e-16,0.452109495876339,0.37,0.269,4.85782871788697e-12,"MT1X_EC","PNLIP"
5.28792180519783e-15,0.335339440920559,0.434,0.332,8.97466088778176e-11,"MT1X_EC","CLPS"
0,3.9413247389695,0.91,0.123,0,"Venous_EC","ACKR1"
0,2.53961209102137,0.568,0.083,0,"Venous_EC","CPE"
0,1.76105792631586,0.864,0.494,0,"Venous_EC","NPC2"
0,1.74897855952906,0.693,0.217,0,"Venous_EC","PRCP"
0,1.71031717057093,0.405,0.02,0,"Venous_EC","SELP"
4.94065645841247e-324,1.82111746750469,0.549,0.116,8.38528214121764e-320,"Venous_EC","NR2F2"
6.13203516231413e-294,1.69677234607228,0.332,0.019,1.04072900774795e-289,"Venous_EC","MADCAM1"
9.70557376998378e-261,1.45293515133459,0.272,0.01,1.64722998024165e-256,"Venous_EC","MMRN1"
6.8334829561205e-258,1.44957004043694,0.699,0.299,1.15977872731277e-253,"Venous_EC","DUSP23"
3.05948994386513e-247,1.1658160437854,0.25,0.007,5.1925663327279e-243,"Venous_EC","RAB3C"
9.37201035386093e-245,1.2933668801376,0.358,0.044,1.59061759725728e-240,"Venous_EC","LRRC1"
2.8930839934214e-242,1.31855078519389,0.521,0.133,4.91014215363481e-238,"Venous_EC","IL33"
4.71475097539849e-241,1.16427834515787,0.713,0.294,8.00187535544631e-237,"Venous_EC","NNMT"
3.00659080240522e-231,1.50835442164065,0.556,0.181,5.10278590984214e-227,"Venous_EC","CTSC"
8.69250743030303e-229,1.65387869389435,0.335,0.041,1.47529236107103e-224,"Venous_EC","C7"
1.66626377895979e-226,1.78557060148773,0.762,0.428,2.82798288565056e-222,"Venous_EC","CCL14"
2.02234003743056e-225,1.37191142583485,0.492,0.128,3.43231551152715e-221,"Venous_EC","IL1R1"
5.59780204567283e-218,1.27097532454923,0.651,0.274,9.50058963191593e-214,"Venous_EC","TSPAN7"
