"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SNRPG",1.92141169247701e-289,1.01115777989191,0.71,0.32,3.14381381123089e-285,"7","SNRPG"
"CENPW",1.02783317687021e-285,0.466826619801661,0.284,0.012,1.68174064399505e-281,"7","CENPW"
"TPI1",3.91619901355845e-285,1.29331583736617,0.741,0.367,6.40768482598434e-281,"7","TPI1"
"CCNB2",4.0799394268858e-284,0.539599142763696,0.227,0.005,6.67559689027054e-280,"7","CCNB2"
"CALM2",5.66416130101911e-283,1.37958584682878,0.85,0.652,9.26770072072746e-279,"7","CALM2"
"CCNA2",8.16578860248323e-280,0.38197330143897,0.223,0.004,1.33608633113831e-275,"7","CCNA2"
"SNRPD1",9.33612092308886e-280,0.886614560462026,0.597,0.193,1.5275761054358e-275,"7","SNRPD1"
"TPX2",1.11097272064724e-274,0.413521242395679,0.226,0.005,1.81777356552302e-270,"7","TPX2"
"CDC20",3.47872202817348e-274,0.494805310498971,0.215,0.004,5.69188498249745e-270,"7","CDC20"
"MAD2L1",1.84646340441573e-271,0.522784612468017,0.327,0.029,3.02118342230502e-267,"7","MAD2L1"
"YBX1",4.33751999325109e-270,1.10460382055469,0.848,0.599,7.09705021295743e-266,"7","YBX1"
"RPA3",1.13844165218154e-267,0.738068198834546,0.527,0.147,1.86271823129943e-263,"7","RPA3"
"TXNIP.1",2.05626896910419e-267,-1.31860343476861,0.355,0.804,3.36446728724827e-263,"7","TXNIP"
"ANP32B",4.09667368482716e-267,0.867181957070071,0.641,0.273,6.70297748311419e-263,"7","ANP32B"
"HMGB3",2.68325269175786e-262,0.526078573381183,0.304,0.019,4.3903380542542e-258,"7","HMGB3"
"SPC25",1.48992481774722e-260,0.34073234876028,0.212,0.004,2.437814986798e-256,"7","SPC25"
"CLSPN",1.16305172880924e-259,0.383898947042964,0.228,0.006,1.90298523867769e-255,"7","CLSPN"
"JPT1",9.41863225565099e-259,1.25132651547624,0.554,0.179,1.54107660966962e-254,"7","JPT1"
"CENPM",5.75003483021808e-257,0.547794074759894,0.352,0.036,9.40820698920283e-253,"7","CENPM"
"CENPU",2.86608546627019e-249,0.367579862914379,0.238,0.009,4.68948903991128e-245,"7","CENPU"
"KPNA2",1.25188692354308e-248,0.672567387454977,0.326,0.045,2.04833738430118e-244,"7","KPNA2"
"SMC2",1.68328610487202e-246,0.488127667194414,0.328,0.03,2.75419272479159e-242,"7","SMC2"
"NUF2",2.14558589634947e-246,0.344079416937967,0.206,0.005,3.510607643607e-242,"7","NUF2"
